design,inquiry,estimator,outcome,term,rho_vill,rho_hh,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,LM1,Y,Z,0,0,mean_estimand,0.02689655172413793,0.0031154822992791585,0.021543103448275862,0.032413793103448274
design_1,ATE,LM1,Y,Z,0,0,mean_estimate,0.14133333333333345,0.03470855617286522,0.07349666666666663,0.2037
design_1,ATE,LM1,Y,Z,0,0,bias,0.11443678160919551,0.035113847488848444,0.046609425287356315,0.17495
design_1,ATE,LM1,Y,Z,0,0,sd_estimate,0.12007240613916835,0.03427434248057157,0.038315654822152025,0.1700666803334208
design_1,ATE,LM1,Y,Z,0,0,rmse,0.1628560446130576,0.034401896801632526,0.10564091759828861,0.22451934371273558
design_1,ATE,LM1,Y,Z,0,0,power,1,0,1,1
design_1,ATE,LM1,Y,Z,0,0,coverage,0.1,0.10059921480907304,0,0.35249999999999915
design_1,ATE,PSM ATE,NA,NA,0,0,mean_estimand,0.02689655172413793,0.0031154822992791585,0.021543103448275862,0.032413793103448274
design_1,ATE,PSM ATE,NA,NA,0,0,mean_estimate,0.11426666666666667,0.04027443241279558,0.03685000000000001,0.2007633333333333
design_1,ATE,PSM ATE,NA,NA,0,0,bias,0.08737011494252873,0.040651312260401494,0.013348850574712655,0.174099540229885
design_1,ATE,PSM ATE,NA,NA,0,0,sd_estimate,0.15560132659944187,0.029196319905007075,0.08727397837529248,0.20104878164548534
design_1,ATE,PSM ATE,NA,NA,0,0,rmse,0.173386678580437,0.03440931322802879,0.10822303825449966,0.2315826770199097
design_1,ATE,PSM ATE,NA,NA,0,0,power,0.7,0.14932508094081115,0.4,0.9
design_1,ATE,PSM ATE,NA,NA,0,0,coverage,0.3,0.14076271315281405,0.1,0.6
design_2,ATE,LM1,Y,Z,0,0.1,mean_estimand,0.028620689655172414,0.002229292491475983,0.023594827586206898,0.03310344827586207
design_2,ATE,LM1,Y,Z,0,0.1,mean_estimate,0.07213333333333376,0.03445890446560516,0.005920000000000356,0.13562000000000027
design_2,ATE,LM1,Y,Z,0,0.1,bias,0.04351264367816134,0.03431089698677117,-0.02266620689655137,0.10467965517241434
design_2,ATE,LM1,Y,Z,0,0.1,sd_estimate,0.1263230426767469,0.02334837889946341,0.07231254757707153,0.15668920749162896
design_2,ATE,LM1,Y,Z,0,0.1,rmse,0.12728040228534407,0.025183905513281687,0.0792133854593341,0.17371927108147622
design_2,ATE,LM1,Y,Z,0,0.1,power,0.7,0.13713887379977535,0.4,0.9
design_2,ATE,LM1,Y,Z,0,0.1,coverage,0.2,0.13257359305592337,0,0.5
design_2,ATE,PSM ATE,NA,NA,0,0.1,mean_estimand,0.028620689655172414,0.002229292491475983,0.023594827586206898,0.03310344827586207
design_2,ATE,PSM ATE,NA,NA,0,0.1,mean_estimate,0.10253333333333334,0.050466355762756085,-5.999999999999834e-4,0.19539666666666655
design_2,ATE,PSM ATE,NA,NA,0,0.1,bias,0.07391264367816092,0.05033743360643347,-0.029936206896551718,0.1647587356321838
design_2,ATE,PSM ATE,NA,NA,0,0.1,sd_estimate,0.1761340118303583,0.03494578588689936,0.10254074625844209,0.22530860149576382
design_2,ATE,PSM ATE,NA,NA,0,0.1,rmse,0.18263672997352093,0.034182868535070333,0.11329827680010919,0.24806642356419084
design_2,ATE,PSM ATE,NA,NA,0,0.1,power,0.8,0.1343709624716425,0.5,1
design_2,ATE,PSM ATE,NA,NA,0,0.1,coverage,0.1,0.09419515525082632,0,0.3
