design,inquiry,estimator,term,effect_size_dd,rho_dd,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,2FE,Z,100,0.3,mean_estimand,100,0,100,100
design_1,ATE,2FE,Z,100,0.3,mean_estimate,107.03133057479664,3.5077197674337666,101.1615484245477,114.65384533199014
design_1,ATE,2FE,Z,100,0.3,bias,7.031330574796647,3.5077197674337666,1.1615484245477017,14.65384533199014
design_1,ATE,2FE,Z,100,0.3,sd_estimate,79.20520571603258,2.141221941751542,75.3589683960731,82.87302886095449
design_1,ATE,2FE,Z,100,0.3,rmse,79.43775735093529,2.094473111792616,75.53186779427338,83.14340623785634
design_1,ATE,2FE,Z,100,0.3,power,0.356,0.020634099461960063,0.31895,0.4021
design_1,ATE,2FE,Z,100,0.3,coverage,0.972,0.007738138528017445,0.95695,0.98705
design_2,ATE,2FE,Z,150,0.3,mean_estimand,150,0,150,150
design_2,ATE,2FE,Z,150,0.3,mean_estimate,147.96783500180717,3.5232709719959723,141.7033473049803,154.35198925361004
design_2,ATE,2FE,Z,150,0.3,bias,-2.032164998192826,3.5232709719959723,-8.296652695019686,4.3519892536100375
design_2,ATE,2FE,Z,150,0.3,sd_estimate,77.32212041258765,2.074132355556974,73.13145278822199,80.63116775078507
design_2,ATE,2FE,Z,150,0.3,rmse,77.27148619683969,2.0770651362395687,73.11161597313088,80.63884423945788
design_2,ATE,2FE,Z,150,0.3,power,0.46,0.0245383641087036,0.41695,0.502
design_2,ATE,2FE,Z,150,0.3,coverage,0.982,0.0054633766892357785,0.97095,0.992
design_3,ATE,2FE,Z,200,0.3,mean_estimand,200,0,200,200
design_3,ATE,2FE,Z,200,0.3,mean_estimate,200.13320844682403,3.3591530860761947,194.83496788725247,206.27495907160556
design_3,ATE,2FE,Z,200,0.3,bias,0.13320844682403338,3.3591530860761933,-5.165032112747527,6.274959071605546
design_3,ATE,2FE,Z,200,0.3,sd_estimate,79.7537196133177,2.2991046835921773,74.7996139620031,84.20568244321592
design_3,ATE,2FE,Z,200,0.3,rmse,79.67403733378698,2.291848889480764,74.74976650933917,84.21369704131916
design_3,ATE,2FE,Z,200,0.3,power,0.704,0.02021576542496403,0.67095,0.742
design_3,ATE,2FE,Z,200,0.3,coverage,0.976,0.0066062718898655965,0.9619,0.988
design_4,ATE,2FE,Z,100,0.6,mean_estimand,100,0,100,100
design_4,ATE,2FE,Z,100,0.6,mean_estimate,102.59982174664941,2.9912984422838154,98.01085904146197,108.59865172265398
design_4,ATE,2FE,Z,100,0.6,bias,2.5998217466494045,2.991298442283816,-1.989140958538031,8.598651722653992
design_4,ATE,2FE,Z,100,0.6,sd_estimate,68.47329130242792,1.751393535384152,64.81475794269376,71.51911189198195
design_4,ATE,2FE,Z,100,0.6,rmse,68.45417088576801,1.7153110829898532,65.09563430013033,71.4729266341562
design_4,ATE,2FE,Z,100,0.6,power,0.362,0.020832870297884665,0.326,0.4021
design_4,ATE,2FE,Z,100,0.6,coverage,0.992,0.003938722553510895,0.98295,0.998
design_5,ATE,2FE,Z,150,0.6,mean_estimand,150,0,150,150
design_5,ATE,2FE,Z,150,0.6,mean_estimate,148.29194085221602,3.056318474393342,143.22932304410506,154.16715093326883
design_5,ATE,2FE,Z,150,0.6,bias,-1.7080591477839755,3.056318474393342,-6.770676955894949,4.16715093326884
design_5,ATE,2FE,Z,150,0.6,sd_estimate,70.24368878198015,1.675324184539779,67.20826815647285,73.23821862423068
design_5,ATE,2FE,Z,150,0.6,rmse,70.19419440469855,1.6806038870307696,67.14716796748459,73.3769449299161
design_5,ATE,2FE,Z,150,0.6,power,0.526,0.021992275962714778,0.4858,0.57305
design_5,ATE,2FE,Z,150,0.6,coverage,0.986,0.005507570547286107,0.97495,0.996
design_6,ATE,2FE,Z,200,0.6,mean_estimand,200,0,200,200
design_6,ATE,2FE,Z,200,0.6,mean_estimate,200.10494228211564,3.3368247942995075,192.99452526264037,204.841375672649
design_6,ATE,2FE,Z,200,0.6,bias,0.10494228211563596,3.3368247942995075,-7.005474737359645,4.841375672649006
design_6,ATE,2FE,Z,200,0.6,sd_estimate,70.0507984762033,1.8577244554276238,66.45247471829508,72.89027646696056
design_6,ATE,2FE,Z,200,0.6,rmse,69.98079130234177,1.8675420515576187,66.44543780742377,72.85599454462576
design_6,ATE,2FE,Z,200,0.6,power,0.788,0.019205386449818417,0.75095,0.822
design_6,ATE,2FE,Z,200,0.6,coverage,0.978,0.006855389386195632,0.964,0.99
design_7,ATE,2FE,Z,100,0.9,mean_estimand,100,0,100,100
design_7,ATE,2FE,Z,100,0.9,mean_estimate,101.21606990679273,2.1255108872143245,96.89807672226291,104.74580909025599
design_7,ATE,2FE,Z,100,0.9,bias,1.2160699067927192,2.1255108872143245,-3.1019232777370798,4.745809090255987
design_7,ATE,2FE,Z,100,0.9,sd_estimate,48.73513834489212,1.258691300748406,46.61762698274279,51.17287980230953
design_7,ATE,2FE,Z,100,0.9,rmse,48.70156371303687,1.2703804611959029,46.57493325647698,51.28259843845131
design_7,ATE,2FE,Z,100,0.9,power,0.568,0.022459759751181824,0.5195000000000001,0.60905
design_7,ATE,2FE,Z,100,0.9,coverage,0.992,0.0039394918402753405,0.98495,0.99905
design_8,ATE,2FE,Z,150,0.9,mean_estimand,150,0,150,150
design_8,ATE,2FE,Z,150,0.9,mean_estimate,152.81174363147437,2.0689794073611445,149.44509409118206,156.61673684780925
design_8,ATE,2FE,Z,150,0.9,bias,2.8117436314743833,2.0689794073611454,-0.5549059088179363,6.616736847809273
design_8,ATE,2FE,Z,150,0.9,sd_estimate,51.412893257654325,1.3704993911704835,48.41003444327526,53.69153672362375
design_8,ATE,2FE,Z,150,0.9,rmse,51.438360434464165,1.3861357363758342,48.380463331348544,53.83008961553288
design_8,ATE,2FE,Z,150,0.9,power,0.77,0.018417777972777986,0.738,0.80105
design_8,ATE,2FE,Z,150,0.9,coverage,0.984,0.005784654027876021,0.972,0.994
design_9,ATE,2FE,Z,200,0.9,mean_estimand,200,0,200,200
design_9,ATE,2FE,Z,200,0.9,mean_estimate,197.72981541413844,2.2801749207353685,193.47931109668872,202.07219330415802
design_9,ATE,2FE,Z,200,0.9,bias,-2.2701845858615655,2.280174920735369,-6.520688903311273,2.072193304158021
design_9,ATE,2FE,Z,200,0.9,sd_estimate,50.65635334360969,1.3473948356400234,48.07987285202705,52.93305219000418
design_9,ATE,2FE,Z,200,0.9,rmse,50.65656660156089,1.3427411274445686,48.121074420364366,52.998167417502245
design_9,ATE,2FE,Z,200,0.9,power,0.948,0.01003661981813285,0.928,0.966
design_9,ATE,2FE,Z,200,0.9,coverage,0.978,0.007305069500288173,0.9639,0.992
