design,inquiry,estimator,outcome,term,rho,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Matched CEM,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Matched CEM,Y,Z,0,mean_estimate,0.10875887636423837,0.019525835666104906,0.07272029785644674,0.14733188866393265
design_1,ATE,Matched CEM,Y,Z,0,bias,0.008758876364238357,0.019525835666104906,-0.027279702143553262,0.04733188866393262
design_1,ATE,Matched CEM,Y,Z,0,sd_estimate,0.15957552445173076,0.008192208174886601,0.14418743687732116,0.17284972473590948
design_1,ATE,Matched CEM,Y,Z,0,rmse,0.1590170507812558,0.008044538921181623,0.14538936098546018,0.1727532539955635
design_1,ATE,Matched CEM,Y,Z,0,power,0.29,0.0539431050817302,0.19475000000000003,0.4
design_1,ATE,Matched CEM,Y,Z,0,coverage,0.81,0.03859920970562725,0.73,0.87
design_1,ATE,Matched PSM,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Matched PSM,Y,Z,0,mean_estimate,0.10640000000000001,0.01828488637364121,0.06983500000000001,0.14136500000000002
design_1,ATE,Matched PSM,Y,Z,0,bias,0.006400000000000007,0.01828488637364121,-0.030165000000000004,0.041365
design_1,ATE,Matched PSM,Y,Z,0,sd_estimate,0.15598834455293012,0.00840208035213539,0.1390647317807966,0.17243235128251821
design_1,ATE,Matched PSM,Y,Z,0,rmse,0.15533834040570926,0.008107529320223605,0.1401269268424032,0.17170854563079965
design_1,ATE,Matched PSM,Y,Z,0,power,0.29,0.05135182665699538,0.17475000000000002,0.3852499999999999
design_1,ATE,Matched PSM,Y,Z,0,coverage,0.83,0.03631845678205921,0.76,0.8952499999999999
design_1,ATE,Not matched,Y,Z,0,mean_estimand,0.1,0,0.1,0.1
design_1,ATE,Not matched,Y,Z,0,mean_estimate,0.1075666666666666,0.019009629608309504,0.07329999999999996,0.14990916666666654
design_1,ATE,Not matched,Y,Z,0,bias,0.007566666666666591,0.019009629608309507,-0.02670000000000005,0.04990916666666652
design_1,ATE,Not matched,Y,Z,0,sd_estimate,0.16459715472801054,0.010333818873859339,0.14599144128708863,0.18252894054010577
design_1,ATE,Not matched,Y,Z,0,rmse,0.16394680709167692,0.009916203867487339,0.14544804358786173,0.18230081467782833
design_1,ATE,Not matched,Y,Z,0,power,0.36,0.05355069343787032,0.24950000000000006,0.46524999999999994
design_1,ATE,Not matched,Y,Z,0,coverage,0.77,0.041203486172013075,0.68,0.8352499999999998
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimate,0.10283430414710658,0.015743805530052415,0.07740759113038269,0.1370661754478776
design_2,ATE,Matched CEM,Y,Z,0.25,bias,0.0028343041471065797,0.015743805530052415,-0.02259240886961732,0.03706617544787759
design_2,ATE,Matched CEM,Y,Z,0.25,sd_estimate,0.15275830238066268,0.009328320105896432,0.13295723209301552,0.16852781867984495
design_2,ATE,Matched CEM,Y,Z,0.25,rmse,0.1520190160366724,0.009489244164754189,0.1325641454501382,0.16908597000006342
design_2,ATE,Matched CEM,Y,Z,0.25,power,0.22,0.040158650023589836,0.16,0.3052499999999999
design_2,ATE,Matched CEM,Y,Z,0.25,coverage,0.86,0.034763849794366176,0.79,0.9152499999999999
design_2,ATE,Matched PSM,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Matched PSM,Y,Z,0.25,mean_estimate,0.12110000000000001,0.01588839243414557,0.09502000000000002,0.15596
design_2,ATE,Matched PSM,Y,Z,0.25,bias,0.021100000000000004,0.01588839243414557,-0.004979999999999996,0.055959999999999996
design_2,ATE,Matched PSM,Y,Z,0.25,sd_estimate,0.15242746246372835,0.009805377896065079,0.1309005083147896,0.16709620289760013
design_2,ATE,Matched PSM,Y,Z,0.25,rmse,0.15312413265060476,0.010427227134370899,0.13143618569552684,0.1706224022841441
design_2,ATE,Matched PSM,Y,Z,0.25,power,0.29,0.04450899352996543,0.22,0.3852499999999999
design_2,ATE,Matched PSM,Y,Z,0.25,coverage,0.86,0.03688297080433646,0.7947500000000001,0.9352499999999999
design_2,ATE,Not matched,Y,Z,0.25,mean_estimand,0.1,0,0.1,0.1
design_2,ATE,Not matched,Y,Z,0.25,mean_estimate,0.12346666666666657,0.01565325407304169,0.0978666666666666,0.15632749999999984
design_2,ATE,Not matched,Y,Z,0.25,bias,0.023466666666666566,0.01565325407304169,-0.0021333333333334098,0.056327499999999864
design_2,ATE,Not matched,Y,Z,0.25,sd_estimate,0.1498131421248178,0.009603861443237542,0.12910630751899627,0.16630133741969683
design_2,ATE,Not matched,Y,Z,0.25,rmse,0.1508980524136153,0.010445052600487356,0.13044741402165477,0.1695974477217621
design_2,ATE,Not matched,Y,Z,0.25,power,0.28,0.044729828702528875,0.2,0.37
design_2,ATE,Not matched,Y,Z,0.25,coverage,0.83,0.039727735013374836,0.7595000000000001,0.9052499999999999
design_3,ATE,Matched CEM,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Matched CEM,Y,Z,0.5,mean_estimate,0.09601212654843931,0.013935897825157292,0.07054150248904228,0.12102289746910855
design_3,ATE,Matched CEM,Y,Z,0.5,bias,-0.0039878734515606884,0.013935897825157294,-0.029458497510957714,0.021022897469108535
design_3,ATE,Matched CEM,Y,Z,0.5,sd_estimate,0.14230166965790506,0.008458387867338059,0.1259708766778711,0.15517620766911877
design_3,ATE,Matched CEM,Y,Z,0.5,rmse,0.14164452220336277,0.00858365044276701,0.1258006216683693,0.156845145964298
design_3,ATE,Matched CEM,Y,Z,0.5,power,0.16,0.03803241573269632,0.09,0.23
design_3,ATE,Matched CEM,Y,Z,0.5,coverage,0.88,0.03278272518731583,0.81,0.9352499999999999
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Matched PSM,Y,Z,0.5,mean_estimate,0.11929999999999999,0.014053457642771466,0.09422250000000001,0.14721249999999997
design_3,ATE,Matched PSM,Y,Z,0.5,bias,0.019299999999999987,0.014053457642771466,-0.0057774999999999944,0.04721249999999996
design_3,ATE,Matched PSM,Y,Z,0.5,sd_estimate,0.13836166194054442,0.009714497112398938,0.1198297613970041,0.1570398568458063
design_3,ATE,Matched PSM,Y,Z,0.5,rmse,0.13901438774457844,0.009635713160934402,0.12038066368711528,0.1576644225081643
design_3,ATE,Matched PSM,Y,Z,0.5,power,0.27,0.04615071926729732,0.19,0.3552499999999999
design_3,ATE,Matched PSM,Y,Z,0.5,coverage,0.91,0.028670718529714263,0.85475,0.96
design_3,ATE,Not matched,Y,Z,0.5,mean_estimand,0.1,0,0.1,0.1
design_3,ATE,Not matched,Y,Z,0.5,mean_estimate,0.1558333333333332,0.014571717236135078,0.13243749999999987,0.1861591666666665
design_3,ATE,Not matched,Y,Z,0.5,bias,0.0558333333333332,0.014571717236135078,0.032437499999999876,0.08615916666666645
design_3,ATE,Not matched,Y,Z,0.5,sd_estimate,0.14300869586550927,0.01032774940099392,0.12325505559216804,0.16278558169397472
design_3,ATE,Not matched,Y,Z,0.5,rmse,0.15285396080355027,0.00992482579253431,0.1326900123597245,0.17270482114099528
design_3,ATE,Not matched,Y,Z,0.5,power,0.39,0.04736479961347078,0.29475,0.48
design_3,ATE,Not matched,Y,Z,0.5,coverage,0.78,0.04346134936801766,0.69475,0.8704999999999998
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Matched CEM,Y,Z,0.75,mean_estimate,0.10503127174332522,0.016108451887684266,0.07692431070058049,0.13406835417651242
design_4,ATE,Matched CEM,Y,Z,0.75,bias,0.005031271743325209,0.016108451887684266,-0.02307568929941952,0.034068354176512425
design_4,ATE,Matched CEM,Y,Z,0.75,sd_estimate,0.16342826279391795,0.011247101431460118,0.1407007688704266,0.18122997776252991
design_4,ATE,Matched CEM,Y,Z,0.75,rmse,0.1626868857787705,0.01097257456382761,0.14183011723399808,0.180598423586267
design_4,ATE,Matched CEM,Y,Z,0.75,power,0.16,0.03407345007480164,0.1,0.22524999999999992
design_4,ATE,Matched CEM,Y,Z,0.75,coverage,0.91,0.027815408853672625,0.84475,0.96
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Matched PSM,Y,Z,0.75,mean_estimate,0.1638,0.015506203906693593,0.13487000000000002,0.19161
design_4,ATE,Matched PSM,Y,Z,0.75,bias,0.06380000000000001,0.015506203906693593,0.03487000000000001,0.09161000000000002
design_4,ATE,Matched PSM,Y,Z,0.75,sd_estimate,0.15972691341376027,0.012255351342794712,0.13859742818686432,0.18359435494956775
design_4,ATE,Matched PSM,Y,Z,0.75,rmse,0.17125419702886116,0.011685111762224946,0.14871118469150024,0.19309104795571835
design_4,ATE,Matched PSM,Y,Z,0.75,power,0.36,0.04588082938494579,0.27475000000000005,0.45
design_4,ATE,Matched PSM,Y,Z,0.75,coverage,0.79,0.040886638058382496,0.7,0.86
design_4,ATE,Not matched,Y,Z,0.75,mean_estimand,0.1,0,0.1,0.1
design_4,ATE,Not matched,Y,Z,0.75,mean_estimate,0.21616666666666656,0.015669767570474114,0.1849674999999999,0.2471191666666665
design_4,ATE,Not matched,Y,Z,0.75,bias,0.11616666666666656,0.01566976757047411,0.0849674999999999,0.14711916666666652
design_4,ATE,Not matched,Y,Z,0.75,sd_estimate,0.1553515075855104,0.010397234957270803,0.13444427930093628,0.174945376940488
design_4,ATE,Not matched,Y,Z,0.75,rmse,0.1933583317171629,0.01148994287469131,0.1720646928314991,0.21494585756060458
design_4,ATE,Not matched,Y,Z,0.75,power,0.57,0.04887367761521905,0.48,0.67
