design,inquiry,estimator,outcome,term,rho,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Matched CEM,Y,Z,0,mean_estimand,0.3,0,0.3,0.3
design_1,ATE,Matched CEM,Y,Z,0,mean_estimate,0.2998693589800609,0.0028153245064926856,0.29485357357311726,0.3051352929962933
design_1,ATE,Matched CEM,Y,Z,0,bias,-1.3064101993912004e-4,0.0028153245064926847,-0.005146426426882719,0.005135292996293253
design_1,ATE,Matched CEM,Y,Z,0,sd_estimate,0.026512987252730998,0.0022481356808199283,0.022267614078538188,0.030203335077603286
design_1,ATE,Matched CEM,Y,Z,0,rmse,0.02638041271869969,0.0022338182702203993,0.022166854243583473,0.030179529604542996
design_1,ATE,Matched CEM,Y,Z,0,power,1,0,1,1
design_1,ATE,Matched CEM,Y,Z,0,coverage,0.98,0.014621141466307547,0.95,1
design_1,ATE,Matched PSM,Y,Z,0,mean_estimand,0.3,0,0.3,0.3
design_1,ATE,Matched PSM,Y,Z,0,mean_estimate,0.3011346539786237,0.0031367259996376304,0.2955731694588117,0.30668915033556865
design_1,ATE,Matched PSM,Y,Z,0,bias,0.0011346539786237498,0.0031367259996376326,-0.0044268305411883195,0.006689150335568661
design_1,ATE,Matched PSM,Y,Z,0,sd_estimate,0.028289949977632005,0.0021749972632057624,0.023629255180592564,0.031641516986047225
design_1,ATE,Matched PSM,Y,Z,0,rmse,0.028171004538190658,0.0022348167027744404,0.023789105411652182,0.032050065734119476
design_1,ATE,Matched PSM,Y,Z,0,power,1,0,1,1
design_1,ATE,Matched PSM,Y,Z,0,coverage,0.95,0.02090744394040581,0.91,0.99
design_1,ATE,Not matched,Y,Z,0,mean_estimand,0.3,0,0.3,0.3
design_1,ATE,Not matched,Y,Z,0,mean_estimate,0.3005214966102759,0.0028920294355674198,0.29533315620006717,0.3059374652555036
design_1,ATE,Not matched,Y,Z,0,bias,5.214966102758751e-4,0.0028920294355674185,-0.004666843799932866,0.005937465255503562
design_1,ATE,Not matched,Y,Z,0,sd_estimate,0.026568034033393657,0.0021440421389900847,0.022210551213898366,0.030031340557585526
design_1,ATE,Not matched,Y,Z,0,rmse,0.02644000353233897,0.0021473730205935643,0.02223378100220306,0.030051594355438242
design_1,ATE,Not matched,Y,Z,0,power,1,0,1,1
design_1,ATE,Not matched,Y,Z,0,coverage,0.97,0.015723301886761017,0.94,1
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimand,0.3,0,0.3,0.3
design_2,ATE,Matched CEM,Y,Z,0.25,mean_estimate,0.3015032897350662,0.0019842222076356018,0.29737708822760267,0.30518553179832375
design_2,ATE,Matched CEM,Y,Z,0.25,bias,0.0015032897350661792,0.0019842222076355996,-0.0026229117723972745,0.005185531798323772
design_2,ATE,Matched CEM,Y,Z,0.25,sd_estimate,0.020978207950424602,0.0017741311035169584,0.017740674912502488,0.02405525269627464
design_2,ATE,Matched CEM,Y,Z,0.25,rmse,0.020927117258492646,0.001755202592593365,0.017722851750612598,0.024008407274615017
design_2,ATE,Matched CEM,Y,Z,0.25,power,1,0,1,1
