design,inquiry,estimator,outcome,term,clusters_treat,effect,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,LM,Y,Z,20,0.1,mean_estimand,0.05244827586206897,0.0011787912272712595,0.04988448275862069,0.05440258620689655
design_1,ATE,LM,Y,Z,20,0.1,mean_estimate,0.057926666666666474,0.010188164942611922,0.040701999999999836,0.07824133333333311
design_1,ATE,LM,Y,Z,20,0.1,bias,0.005478390804597509,0.010039760545879562,-0.012661293103448438,0.025687557471264125
design_1,ATE,LM,Y,Z,20,0.1,sd_estimate,0.09786533705828011,0.0065591094560387775,0.08616626135621808,0.10910721231313758
design_1,ATE,LM,Y,Z,20,0.1,rmse,0.09728936950636287,0.006307635888783412,0.08656587090643988,0.10936894342629876
design_1,ATE,LM,Y,Z,20,0.1,power,0.5,0.042817441928883766,0.43,0.59
design_1,ATE,LM,Y,Z,20,0.1,coverage,0.6,0.048502733443746775,0.49475,0.67
design_1,ATE,PSM ATE,Y,Z,20,0.1,mean_estimand,0.05244827586206897,0.0011787912272712595,0.04988448275862069,0.05440258620689655
design_1,ATE,PSM ATE,Y,Z,20,0.1,mean_estimate,0.05113333333333359,0.01024683082352426,0.03168566666666689,0.07221966666666704
design_1,ATE,PSM ATE,Y,Z,20,0.1,bias,-0.0013149425287353707,0.010202058773159127,-0.021177103448275638,0.020365758620690025
design_1,ATE,PSM ATE,Y,Z,20,0.1,sd_estimate,0.09842091061020718,0.007270792450096216,0.08317791758277088,0.11000754053606666
design_1,ATE,PSM ATE,Y,Z,20,0.1,rmse,0.09781698977126262,0.006944322895665888,0.08321090351246416,0.11037624581864064
design_1,ATE,PSM ATE,Y,Z,20,0.1,power,0.4,0.04624877830764284,0.32475000000000004,0.4852499999999999
design_1,ATE,PSM ATE,Y,Z,20,0.1,coverage,0.67,0.04903873958206898,0.5647500000000001,0.76
design_2,ATE,LM,Y,Z,40,0.1,mean_estimand,0.054344827586206894,0.0012883010323051273,0.05235948275862069,0.057021551724137934
design_2,ATE,LM,Y,Z,40,0.1,mean_estimate,0.06412666666666653,0.009239358976846275,0.04867266666666657,0.0822689999999997
design_2,ATE,LM,Y,Z,40,0.1,bias,0.00978183908045963,0.008824784211616962,-0.005891040229885115,0.0250731839080457
design_2,ATE,LM,Y,Z,40,0.1,sd_estimate,0.10365511731003253,0.007834064411483748,0.08748446051102862,0.11802919587887607
design_2,ATE,LM,Y,Z,40,0.1,rmse,0.09977104409228839,0.007503039577749199,0.08561249948402347,0.11295073373546458
design_2,ATE,LM,Y,Z,40,0.1,power,0.54,0.05300381156486805,0.46,0.6552499999999999
design_2,ATE,LM,Y,Z,40,0.1,coverage,0.61,0.04891509857586785,0.5,0.6852499999999999
design_2,ATE,PSM ATE,Y,Z,40,0.1,mean_estimand,0.054344827586206894,0.0012883010323051273,0.05235948275862069,0.057021551724137934
design_2,ATE,PSM ATE,Y,Z,40,0.1,mean_estimate,0.06646666666666697,0.009765581922041048,0.04892100000000026,0.08826666666666702
design_2,ATE,PSM ATE,Y,Z,40,0.1,bias,0.012121839080460075,0.00936243989195018,-0.004503873563218124,0.031184080459770475
design_2,ATE,PSM ATE,Y,Z,40,0.1,sd_estimate,0.11174708898555406,0.007918619307817655,0.09450089943337456,0.12644004431165778
