design,inquiry,estimator,outcome,term,effect_size_simple,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Simple,Y,Z,100,mean_estimand,100,0,100,100
design_1,ATE,Simple,Y,Z,100,mean_estimate,102.33844901065461,2.660971195464194,96.83173521451687,107.18471505422386
design_1,ATE,Simple,Y,Z,100,bias,2.338449010654615,2.660971195464194,-3.1682647854831396,7.184715054223865
design_1,ATE,Simple,Y,Z,100,sd_estimate,60.30098982560757,0.8481246612723915,58.58267070342066,61.67101915597664
design_1,ATE,Simple,Y,Z,100,rmse,60.28602905297017,0.8348197264292954,58.64296126679892,61.677922024696954
design_1,ATE,Simple,Y,Z,100,power,0.484,0.021902299127505017,0.43695,0.51705
design_1,ATE,Simple,Y,Z,100,coverage,1,0,1,1
design_2,ATE,Simple,Y,Z,150,mean_estimand,150,0,150,150
design_2,ATE,Simple,Y,Z,150,mean_estimate,150.60426284246589,2.4232093724854606,146.2028709831622,155.7471102097604
design_2,ATE,Simple,Y,Z,150,bias,0.6042628424658745,2.423209372485462,-3.7971290168377827,5.7471102097604
design_2,ATE,Simple,Y,Z,150,sd_estimate,59.49894840278946,0.7434155586675456,57.93767018414094,60.747533565191276
design_2,ATE,Simple,Y,Z,150,rmse,59.442491072451794,0.739238845066921,57.892256176299796,60.689627387554886
design_2,ATE,Simple,Y,Z,150,power,0.514,0.021020230755396132,0.47895,0.5620999999999999
design_2,ATE,Simple,Y,Z,150,coverage,1,0,1,1
design_3,ATE,Simple,Y,Z,200,mean_estimand,200,0,200,200
design_3,ATE,Simple,Y,Z,200,mean_estimate,201.57125951293781,2.96060376772294,195.8949327245055,206.77486796756108
design_3,ATE,Simple,Y,Z,200,bias,1.5712595129378029,2.9606037677229398,-4.105067275494468,6.774867967561096
design_3,ATE,Simple,Y,Z,200,sd_estimate,59.973508242656244,0.8473914807114855,58.12229161217684,61.28743251377777
design_3,ATE,Simple,Y,Z,200,rmse,59.9341046817844,0.8167817251425478,58.19728978863087,61.337405301955044
design_3,ATE,Simple,Y,Z,200,power,0.9,0.013160255439478503,0.88,0.926
design_3,ATE,Simple,Y,Z,200,coverage,1,0,1,1
design_4,ATE,Simple,Y,Z,250,mean_estimand,250,0,250,250
design_4,ATE,Simple,Y,Z,250,mean_estimate,249.03981744672777,2.406107133920918,244.22952357068135,253.22816271879782
design_4,ATE,Simple,Y,Z,250,bias,-0.9601825532722258,2.4061071339209175,-5.770476429318651,3.228162718797792
design_4,ATE,Simple,Y,Z,250,sd_estimate,59.294121458009045,0.7414461437767532,57.986238931886604,60.55750797175074
design_4,ATE,Simple,Y,Z,250,rmse,59.24257931871116,0.7405732152454753,57.96944987439586,60.53219010562599
design_4,ATE,Simple,Y,Z,250,power,1,0,1,1
design_4,ATE,Simple,Y,Z,250,coverage,1,0,1,1
design_5,ATE,Simple,Y,Z,300,mean_estimand,300,0,300,300
design_5,ATE,Simple,Y,Z,300,mean_estimate,301.67310625951313,2.822218766500254,295.78796494958164,306.6574809170474
design_5,ATE,Simple,Y,Z,300,bias,1.6731062595131432,2.8222187665002543,-4.2120350504183595,6.657480917047385
design_5,ATE,Simple,Y,Z,300,sd_estimate,60.078756999932324,0.7864685163776667,58.55071993037387,61.45758700484471
design_5,ATE,Simple,Y,Z,300,rmse,60.04196376807829,0.7731388820122391,58.58083865466631,61.44133647768972
design_5,ATE,Simple,Y,Z,300,power,1,0,1,1
design_5,ATE,Simple,Y,Z,300,coverage,1,0,1,1
