key_ID,member_ID,female,age
1,1,1,39
1,2,0,66
1,3,0,78
2,1,1,24
2,2,0,71
2,3,1,26
2,4,1,57
2,5,0,67
2,6,1,38
2,7,1,7
3,1,1,67
3,2,1,41
3,3,0,56
3,4,1,9
3,5,0,61
3,6,1,23
3,7,1,32
3,8,0,9
3,9,0,13
3,10,0,46
4,1,1,78
4,2,0,16
4,3,1,54
4,4,0,52
4,5,0,79
4,6,0,3
4,7,1,37
5,1,1,71
5,2,1,51
5,3,0,14
5,4,1,61
5,5,0,44
5,6,0,32
5,7,1,66
6,1,0,27
6,2,1,5
6,3,0,37
7,1,0,20
7,2,1,84
7,3,1,5
7,4,0,78
7,5,1,36
7,6,1,44
8,1,0,36
8,2,0,71
8,3,0,49
8,4,1,12
8,5,1,58
8,6,1,-99
8,7,0,58
8,8,0,31
8,9,1,21
8,10,1,20
8,11,0,36
8,12,0,74
9,1,0,39
9,2,0,46
9,3,0,74
9,4,0,44
9,5,1,62
9,6,1,34
9,7,1,67
9,8,0,0
10,1,0,73
10,2,0,30
10,3,1,71
10,4,1,48
10,5,1,61
10,6,1,14
10,7,0,30
10,8,0,0
10,9,0,0
10,10,1,37
10,11,1,30
10,12,1,19
11,1,0,18
11,2,1,16
11,3,0,68
11,4,1,55
11,5,1,57
11,6,0,54
12,1,1,43
12,2,0,39
12,3,1,44
12,4,1,81
12,5,0,28
12,6,1,33
12,7,0,34
13,1,1,54
13,2,1,28
13,3,1,13
13,4,1,37
13,5,0,39
13,6,1,12
14,1,0,53
14,2,0,37
14,3,1,73
14,4,0,44
14,5,1,56
14,6,1,62
14,7,1,40
14,8,1,24
14,9,1,17
14,10,1,69
15,1,0,52
15,2,1,22
15,3,1,80
15,4,0,36
15,5,1,53
16,1,1,18
16,2,1,63
16,3,0,21
16,4,0,75
16,5,1,38
16,6,1,16
17,1,1,35
17,2,1,39
17,3,0,64
17,4,1,18
17,5,0,39
17,6,0,82
17,7,1,47
17,8,1,10
18,1,1,43
18,2,1,32
18,3,1,43
18,4,1,18
19,1,1,81
19,2,1,-99
19,3,0,61
19,4,1,54
19,5,1,31
19,6,1,81
19,7,1,57
19,8,1,27
19,9,1,41
20,1,1,24
20,2,1,43
20,3,0,66
20,4,0,41
20,5,0,6
20,6,0,30
21,1,1,24
21,2,1,-99
21,3,1,56
21,4,0,13
21,5,1,42
21,6,0,71
21,7,0,81
21,8,0,37
22,1,1,53
22,2,0,69
22,3,1,82
22,4,1,66
23,1,1,59
23,2,1,70
23,3,0,62
23,4,0,37
23,5,0,79
23,6,0,19
23,7,0,8
23,8,1,18
23,9,0,63
23,10,0,39
24,1,1,22
24,2,1,33
24,3,0,48
24,4,1,34
24,5,0,0
24,6,1,26
25,1,0,51
25,2,1,52
25,3,0,17
25,4,0,61
25,5,0,63
25,6,1,16
25,7,0,44
25,8,0,34
25,9,0,33
25,10,1,56
25,11,0,82
26,1,1,80
26,2,1,24
26,3,0,58
27,1,0,29
27,2,1,37
27,3,1,67
27,4,0,85
27,5,0,77
27,6,0,15
27,7,1,15
28,1,1,67
28,2,1,68
29,1,0,54
29,2,1,31
29,3,1,86
29,4,1,8
29,5,0,2
29,6,1,82
29,7,1,58
30,1,1,19
30,2,0,25
30,3,0,16
30,4,1,79
30,5,0,20
30,6,0,43
30,7,0,72
31,1,0,44
31,2,1,74
31,3,1,75
32,1,0,68
32,2,1,45
32,3,0,7
32,4,0,16
32,5,1,55
32,6,0,37
32,7,0,84
32,8,1,-99
32,9,0,29
32,10,1,13
32,11,1,4
32,12,1,27
32,13,1,53
32,14,0,22
32,15,1,34
32,16,1,36
32,17,0,25
32,18,0,84
32,19,0,47
33,1,0,54
33,2,1,30
33,3,0,31
33,4,1,14
33,5,1,20
33,6,1,1
33,7,1,74
33,8,0,15
34,1,0,18
34,2,0,54
34,3,1,78
34,4,1,64
34,5,1,58
34,6,1,86
34,7,0,82
34,8,1,86
35,1,0,37
35,2,0,56
35,3,1,56
35,4,0,8
35,5,1,54
36,1,0,70
36,2,0,43
36,3,0,21
36,4,0,77
36,5,1,10
36,6,0,54
37,1,0,19
37,2,0,2
37,3,1,64
38,1,0,83
38,2,1,41
38,3,0,25
38,4,1,3
38,5,0,73
38,6,1,65
38,7,1,70
38,8,0,12
38,9,0,38
38,10,1,51
39,1,0,50
39,2,1,23
39,3,0,29
39,4,0,84
39,5,1,19
39,6,0,0
40,1,1,57
40,2,1,14
40,3,1,32
40,4,1,29
40,5,0,6
40,6,0,28
40,7,1,28
40,8,0,38
40,9,1,35
41,1,1,46
41,2,1,55
41,3,0,76
41,4,1,69
41,5,0,72
41,6,0,74
41,7,1,33
42,1,1,83
42,2,0,62
42,3,1,70
42,4,0,59
42,5,0,81
42,6,0,23
42,7,0,13
42,8,1,13
43,1,0,82
43,2,1,32
43,3,0,31
43,4,1,66
43,5,1,50
43,6,0,68
43,7,1,22
44,1,0,29
44,2,0,56
45,1,1,54
45,2,1,7
45,3,0,69
45,4,0,9
45,5,0,81
45,6,0,68
45,7,0,68
45,8,1,62
45,9,0,-99
46,1,1,71
46,2,0,52
46,3,1,8
46,4,1,10
46,5,0,0
46,6,0,2
46,7,1,29
46,8,0,35
46,9,0,20
46,10,1,85
47,1,1,49
47,2,1,69
48,1,0,41
48,2,1,37
48,3,0,73
48,4,0,56
48,5,0,38
48,6,0,24
48,7,1,10
49,1,1,55
49,2,1,2
49,3,1,57
49,4,1,82
49,5,1,7
49,6,0,15
50,1,1,83
50,2,0,67
50,3,1,84
50,4,0,20
50,5,0,0
50,6,1,2
51,1,1,83
51,2,1,35
51,3,0,19
51,4,0,1
51,5,0,19
52,1,1,79
52,2,0,13
52,3,0,42
52,4,1,73
52,5,0,37
52,6,1,16
52,7,0,54
52,8,1,81
52,9,1,62
52,10,0,15
52,11,0,77
53,1,0,30
53,2,0,58
53,3,0,27
53,4,1,62
53,5,0,70
53,6,0,48
53,7,0,12
53,8,0,81
54,1,1,25
54,2,0,51
54,3,0,68
54,4,0,66
54,5,0,9
54,6,0,3
54,7,0,74
55,1,1,55
55,2,0,29
55,3,0,2
55,4,0,40
55,5,0,29
55,6,0,71
55,7,0,43
55,8,1,38
55,9,1,74
56,1,0,73
56,2,1,50
56,3,1,76
56,4,0,26
56,5,1,54
56,6,1,53
56,7,0,25
56,8,1,25
56,9,0,32
56,10,1,82
56,11,1,73
56,12,0,35
57,1,1,61
57,2,0,18
57,3,0,76
57,4,0,22
58,1,0,39
58,2,0,45
58,3,1,29
58,4,1,40
58,5,1,79
58,6,1,62
58,7,0,56
58,8,1,15
58,9,1,23
58,10,1,1
58,11,0,50
59,1,0,54
59,2,0,74
60,1,1,83
60,2,0,84
60,3,1,17
